Merchant ID,Merchant Name,Legal Entity Name,Store ids,Store Name,Offer ID,Offer Name,Offer Details,Offer Amount,Commission Rate,Vat Inc/Vat Ex,Voucher Type/Offer Type,Merchant Type,Start Date,End Date,Billable Date,Fulfillment Types,Business Address,Email Address
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Market Market,MARIA FRANCES CORP.,ed7f3a9f-ed64-4fbd-865f-762cfc518711,Cabalen Market Market,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
69f6020f-60bb-48ce-9f83-f1d93639238f,My Country House,"FOOD PARKS BY RAINTREE, INC.",b13a6d5e-09dd-4461-a7d1-f3827877fc64,My Country House,MCH500off,MCH500off,"
₱500 off + 2 Pepsi Cans with a min spend of ₱2500. Available daily. Offer can only be availed by new Booky users. Exclusive for Unionbank Credit Card/Debit Card holders. Available daily from 10am-10pm only",,0%,,Coupled,secondary,,,,"PEPSI, LEAD GEN , MAPS",,
f54db629-a824-47d9-8164-f7757e272394,Friends & Family,"FOOD PARKS BY RAINTREE, INC.",58c8e706-aa93-4763-8a9e-1e7e1e3264d0,Friends & Family,,,,,0%,VAT Ex,,secondary,2/28/2024,,8/28/2024,"PEPSI, MAPS",,
95ee14de-5676-49df-af97-3ea0e46e11e3,Timpla,Timpla- H.O.D. Food Hub ( Maria Angelica Secades),0ccfff6a-6a4b-4f70-a337-d1526913e53d,Timpla,"UBTIMPLA300
UBTIMPLA15","UBTIMPLA300
UBTIMPLA15","Pesos Off: Php 300 off with a minimum spend of Php 2000 - Available mon-Thurs, opening -closing
Percent Off: 15% off with a minimum spend of Php 2000 but with a maximum discount of Php 500 - available Fri-Sun, Opening - Closing",,10%,VAT Inc.,Coupled,secondary,2/28/2023,8/28/2023,3/28/2024,"LEAD GEN , MAPS",,
b75f574f-8548-4388-89a4-9a3604b39f60,Noor Manila,Gastro Selects Group Inc,1da6f5ca-5294-4b5c-aab7-49d6b065cfd0,Noor Manila,NOOR500OFF,NOOR500OFF,"Php 500 off with a minimum spend of 2,500",,10%,VAT Inc.,Coupled,secondary,02/01/2024,5/13/2024,,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Southmall,TRECE MARTIRES FINEST FOOD CORP.,7af1f4e8-a6b0-4d69-b304-f46ce7cd6480,Cabalen SM Southmall,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Robinsons Galleria,GALLERIA FINEST FOOD VENTURE CORP.,6bfaa707-c6bf-404a-bb31-6c5affe4d445,Cabalen Robinsons Galleria,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Ayala Malls Feliz,FELIZ FINEST FOOD VENTURE INC.,002ca91a-ecaa-4573-9de6-29a27240079e,Cabalen Ayala Malls Feliz,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM San Lazaro,STA. CRUZ FINEST FOOD CORP.,9d2a4270-2301-4bd8-826d-01742f4f3754,Cabalen SM San Lazaro,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Manila,CAPAMPANGANG MANILENO INC.,8d023baa-5fe2-4e2f-b75e-ce3a9633666e,Cabalen SM Manila,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM North EDSA,EONEOR CORP.,919c5f7e-df46-482c-8465-c743bb45f4ca,Cabalen SM North EDSA,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM Fairview,NIEVERA AND REALICA INC.,f875f6b5-2458-495e-a78b-7942222e2ad7,Cabalen SM Fairview,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Ali Mall,NIEVERA AND REALICA INC,dd81572d-823f-4b91-a110-322abc52b943,Cabalen Ali Mall,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,CABALEN EASTWOOD,EASTERN STYLE FOOD VENTURE INC.,108bdd05-6fe3-4847-b078-1d87f2b819ed,CABALEN EASTWOOD,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
61f10128-1301-4ee3-b47a-57143d496bb3,CASA CABALEN,CABALEN CORP.,2e9ca496-25f4-408d-a6d7-45728ace79e9,CASA CABALEN,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f4430916-a444-43e4-bf08-e6ad49f2bab4,CABALEN SM GRAND CENTRAL,CABALEN CORP.,56cbd05e-0598-422e-8b7f-4a79b0ffd46a,CABALEN SM GRAND CENTRAL,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,CABALEN SM CABANATUAN,CABALEN CORP.,0a9358a2-b799-446c-bbba-aee67f63df68,CABALEN SM CABANATUAN,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen SM San Jose Del Monte,CABALEN CORP,01f42be6-c51c-4a52-9104-245a6b801162,Cabalen SM San Jose Del Monte,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f4430916-a444-43e4-bf08-e6ad49f2bab4,Cabalen Plus West Avenue,CABALEN CORP.,9ae8a1ac-4b71-4907-aebb-5ce10a970374,Cabalen Plus West Avenue,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f4430916-a444-43e4-bf08-e6ad49f2bab4,Cabalen Plus SM Mall of Asia,MIARM INC.,bb363c9d-f247-42e3-9d60-a399878b6099,Cabalen Plus SM Mall of Asia,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
f30bf19f-71a5-4f88-a9b2-18ed64f3df52,Cabalen Trinoma,MARIA FRANCES CORP.,7c4628ce-78ad-4bf9-aa2e-c5582bd8567f,Cabalen Trinoma,CABALEN5,CABALEN5,4+1 promo (at least 4 paying adults and the 5th person eats free),,8%,VAT Ex,Coupled,secondary,2/14/2024,5/13/2024,05/29/2024,"LEAD GEN , MAPS",,
